"state","county","fips","prop_higher_education","mean_household_income","private_insurance","no_insurance","total_population","males","age_85","white_pct","black_pct","pctile","total_votes","vote_demo","vote_rep","vote_green","vote_lib","vote_other","pct_vote_demo","pct_vote_rep","rep_won20","winning_party","pct_vote_demo16","pct_vote_rep16","rep_won16","demo_won16","cases","deaths","infrate","mortrate","dpc","change_vote_rep"
"AL","Coosa",1037,11.6,58927,66,6.9,10696,51.4,1.9,65.9,32.3,19,5479,1796,3631,0,0,52,0.327797043256069,0.662712173754335,1,"Republican",0.339299314546839,0.643754760091394,1,0,234,3,2187.73373223635,28.0478683620045,1282.05128205128,0.018957413662941
"AL","Covington",1039,15.6,59947,64.7,10.7,37096,48.6,2.9,84.3,12.7,22,17430,2721,14586,0,0,123,0.156110154905336,0.836833046471601,1,"Republican",0.149749058971142,0.832308657465496,1,0,1901,30,5124.54172956653,80.8712529652793,1578.11678064177,0.00452438900610508
"AL","Crenshaw",1041,18.5,64930,66.3,8.1,13826,47.7,1.6,71.5,23.6,37,6617,1700,4864,0,0,53,0.256914009369805,0.735076318573372,1,"Republican",0.265517791606829,0.720121270145205,1,0,629,30,4549.399681759,216.982496745263,4769.47535771065,0.0149550484281666
"AL","Cullman",1043,15.4,62592,65.1,11.6,83345,49.3,1.7,93.9,1.1,30,41851,4478,36880,0,0,493,0.106998638025376,0.881221476189338,1,"Republican",0.10028252316954,0.871042695323845,1,0,2947,25,3535.90497330374,29.9958005879177,848.320325755005,0.0101787808654928
"AL","Dale",1045,18.2,59235,65,10.8,49293,49.2,1.6,71.6,20.7,20,19738,5170,14303,0,0,265,0.261931300030398,0.724642820954504,1,"Republican",0.235372553202837,0.736465944850392,1,0,1972,52,4000.56803197209,105.491651958696,2636.9168356998,-0.011823123895888
"AL","Dallas",1047,16.6,46306,50.3,10.2,38184,46.1,1.5,27.2,71.5,2,17864,12230,5524,0,0,110,0.6846171070309,0.30922525750112,0,"Democrat",0.683056619838229,0.308056619838229,0,1,1942,27,5085.89985334171,70.7102451288498,1390.3192584964,0.00116863766289055
"AL","DeKalb",1049,14,58198,60.2,13.7,71430,49.4,1.7,84.8,1.5,18,29356,4281,24767,0,0,308,0.145830494617795,0.843677612753781,1,"Republican",0.140246263455433,0.828815921939131,1,0,3768,30,5275.09449811004,41.9991600167997,796.178343949045,0.0148616908146501
"AL","Elmore",1051,25.8,78932,74.8,7.3,81526,48.3,1.4,74.9,21.1,74,41030,10367,30164,0,0,499,0.252668778942237,0.735169388252498,1,"Republican",0.226596886741814,0.741653247450349,1,0,3362,59,4123.83779407796,72.3695508181439,1754.90779298037,-0.00648385919785066
"AL","Escambia",1053,12.5,48165,61.5,11.8,36775,50.8,2.1,61.9,32,4,15910,4918,10869,0,0,123,0.309113764927718,0.683155248271527,1,"Republican",0.31020545638262,0.669248905355339,1,0,1799,31,4891.91026512577,84.2963970088375,1723.17954419122,0.0139063429161888
"AL","Etowah",1055,17.7,61229,64.9,11.5,102721,48.2,1.8,79.1,16.1,25,47728,11567,35528,0,0,633,0.242352497485753,0.744384847468991,1,"Republican",0.236436916945929,0.732564985055701,1,0,4704,54,4579.39467100203,52.5695816824213,1147.95918367347,0.0118198624132895
"AL","Fayette",1057,12.3,55489,64.4,8.1,16406,49.1,2.3,84.6,12.2,13,8766,1395,7300,0,0,71,0.159137577002053,0.832762947752681,1,"Republican",0.165110922536065,0.813674384773912,1,0,627,15,3821.77252224796,91.4299646470803,2392.34449760766,0.0190885629787688
"AL","Franklin",1059,15,55229,58.3,11.7,31587,49.5,2,82.4,3.9,13,12578,2086,10376,0,0,116,0.165845126411194,0.824932421688663,1,"Republican",0.182475083056478,0.786212624584718,1,0,2197,32,6955.3930414411,101.307499920854,1456.53163404643,0.0387197971039451
"AL","Geneva",1061,13.1,54632,57.2,11.7,26383,48.5,2.5,86,10.2,11,12545,1595,10848,0,0,102,0.127142287764049,0.864726982861698,1,"Republican",0.129698928389182,0.84997448545671,1,0,993,7,3763.78728726832,26.5322366675511,704.934541792548,0.0147524974049876
"AL","Greene",1063,10.1,38224,48.2,16.6,8221,47.4,2.2,17.4,78.9,1,4775,3884,875,0,0,16,0.813403141361257,0.183246073298429,0,"Democrat",0.82233606557377,0.17172131147541,0,1,353,17,4293.88152292908,206.787495438511,4815.86402266289,0.0115247618230195
"AL","Hale",1065,15.6,50342,57.1,8.3,14754,47.5,2.5,38.4,59.1,5,7900,4663,3192,0,0,45,0.590253164556962,0.404050632911392,0,"Democrat",0.593905472636816,0.394651741293532,0,1,815,30,5523.92571506032,203.334688897926,3680.98159509202,0.00939889161786006
"AL","Henry",1067,18.9,64672,66.6,7.8,17123,48.2,2.6,70,26.6,36,9298,2606,6607,0,0,85,0.280275328027533,0.710582921058292,1,"Republican",0.28394449950446,0.697720515361744,1,0,765,6,4467.67505694096,35.0405886818899,784.313725490196,0.0128624056965478
"AL","Houston",1069,22.1,69728,61.9,11.4,105319,47.9,2,68.2,27.2,52,46173,12917,32618,0,0,638,0.279752236155329,0.706430164814935,1,"Republican",0.250099674007364,0.720654799596613,1,0,4382,35,4160.6927524948,33.2323702275943,798.722044728435,-0.0142246347816782
"AL","Jackson",1071,16.2,57723,64.2,10.1,51765,48.9,1.8,91.2,3.7,17,23636,3717,19670,0,0,249,0.157260111694026,0.832205110847859,1,"Republican",0.17503812428517,0.79451010293557,1,0,2374,19,4586.11030619144,36.7043369071767,800.33698399326,0.0376950079122892
"AL","Jefferson",1073,34.1,81248,67.6,9,658615,47.3,2,51.4,42.9,78,325848,181688,138843,0,0,5317,0.557585131717856,0.426097444207115,0,"Democrat",0.515705592867639,0.443037433717631,0,1,24866,388,3775.49858415007,58.9115036857648,1560.36354862061,-0.0169399895105164
"AL","Lamar",1075,11.3,53482,62.4,5.6,13854,49.4,2.3,87.4,11,9,7193,978,6174,0,0,41,0.135965522035312,0.858334491867093,1,"Republican",0.148722365776629,0.835917312661499,1,0,538,7,3883.35498772918,50.526923632164,1301.11524163569,0.0224171792055943
"AL","Lauderdale",1077,25.1,66737,72,9,92870,48,2.3,85.9,10.2,43,44339,11915,31721,0,0,703,0.268725050181556,0.71541983355511,1,"Republican",0.251790006325111,0.705857052498419,1,0,2820,43,3036.50263809626,46.3012813610423,1524.82269503546,0.00956278105669084
"AL","Lawrence",1079,15.8,61591,66.7,9.2,32969,47.9,2.1,78.2,10.7,27,16031,3562,12322,0,0,147,0.222194498159815,0.768635768199114,1,"Republican",0.244588306696338,0.730528019421404,1,0,971,33,2945.19093694076,100.094027723013,3398.55818743563,0.0381077487777102
"AL","Lee",1081,36.4,74869,76,7.8,163461,49.2,1.4,69.7,22.7,66,71449,27860,42221,0,0,1368,0.38992848045459,0.590924995451301,1,"Republican",0.358669392306263,0.584835532428917,1,0,6770,65,4141.66070194114,39.7648368724038,960.118168389956,0.00608946302238444
"AL","Limestone",1083,24.9,79507,73.7,8.6,96921,49.9,1.5,78.9,13.5,76,49235,13672,34640,0,0,923,0.277688636132832,0.703564537422565,1,"Republican",0.234972948826128,0.721372909117983,1,0,3207,34,3308.88042839013,35.0801167961536,1060.18085438104,-0.0178083716954176
"AL","Lowndes",1085,14.7,49686,55.2,8.3,9936,47.7,2.2,24.8,74.9,5,6835,4972,1836,0,0,27,0.727432333577176,0.26861741038771,0,"Democrat",0.730550568521843,0.261968880909635,0,1,734,29,7387.27858293076,291.867954911433,3950.95367847411,0.00664852947807537
"AL","Macon",1087,20.5,53763,62.2,9,18437,45.5,2.1,16.3,82.2,10,8723,7108,1541,0,0,74,0.814857273873667,0.176659406167603,0,"Democrat",0.827789934354486,0.156564551422319,0,1,587,21,3183.81515430927,113.901393936107,3577.51277683135,0.0200948547452834
"AL","Madison",1089,43.8,90951,77.6,8.1,367686,48.8,1.6,67.3,24.6,89,194767,87286,102780,0,0,4701,0.44815600178675,0.527707465843803,1,"Republican",0.384493448151344,0.547894901125535,1,0,9929,101,2700.40197342298,27.469090473937,1017.22227817504,-0.0201874352817316
"AL","Marengo",1091,17.1,57849,59.9,8.5,19138,47,2.5,46.6,51.8,17,10900,5488,5343,0,0,69,0.50348623853211,0.490183486238532,0,"Democrat",0.510733127160269,0.475986901946516,0,1,1072,24,5601.42125613962,125.404953495663,2238.80597014925,0.0141965842920158
"AL","Marion",1093,13.3,53854,61.9,10.3,29818,49.5,2.5,92.3,3.8,10,13807,1463,12205,0,0,139,0.105960744549866,0.88397189831245,1,"Republican",0.110289587184227,0.868299445471349,1,0,1172,31,3930.51177141324,103.964048561272,2645.05119453925,0.0156724528411007
"AL","Marshall",1095,20.7,68303,61.6,12.1,96137,49.4,1.6,90.3,2.9,48,39655,5943,33191,0,0,521,0.149867608120035,0.836994073887278,1,"Republican",0.139228678219504,0.827755125155737,1,0,4671,53,4858.69124270572,55.1296587162071,1134.66067223293,0.00923894873154096
"AL","Mobile",1097,24.4,67142,61.3,11.2,413977,47.6,1.7,58,36.1,44,183164,79474,101243,0,0,2447,0.433895306938045,0.552745080911096,1,"Republican",0.417895413258306,0.550640569188998,1,0,17487,323,4224.1477183515,78.023658319182,1847.08640704523,0.0021045117220978
"AL","Monroe",1099,13.5,52097,54.8,12.2,21006,48.1,2.3,54.4,42.5,7,10668,4455,6147,0,0,66,0.417604049493813,0.576209223847019,1,"Republican",0.421770032129296,0.564209911401032,1,0,676,10,3218.1281538608,47.6054460630296,1479.2899408284,0.0119993124459871
"AL","Montgomery",1101,33.7,72022,64.3,10.1,226451,47.1,1.9,34.7,57.9,59,99139,64529,33311,0,0,1299,0.650894199053854,0.336002985706937,0,"Democrat",0.61448924675108,0.354648615949436,0,1,10868,211,4799.27224874255,93.176890364803,1941.47957305852,-0.018645630242499
"AL","Morgan",1103,21.3,70835,68,10.2,119352,49.3,2.2,78.6,12.7,56,53722,13234,39664,0,0,824,0.24634228062991,0.738319496668032,1,"Republican",0.22221783429429,0.74018639917858,1,0,4664,37,3907.76861719954,31.0007373148334,793.310463121784,-0.00186690251054811
"AL","Perry",1105,17.8,35146,48.7,9.9,9104,47.7,1.2,29.6,69.1,1,5230,3860,1339,0,0,31,0.738049713193117,0.256022944550669,0,"Democrat",0.724516862447897,0.26657824933687,0,1,608,6,6678.38312829526,65.9050966608084,986.842105263158,-0.0105553047862008
"AL","Pickens",1107,14.4,58575,59.1,9.4,20049,47.8,2.8,56.8,40.3,19,9668,4022,5594,0,0,52,0.416011584609019,0.578609846917666,1,"Republican",0.416264933976106,0.571787885139384,1,0,958,18,4778.29318170482,89.7800389046835,1878.91440501044,0.00682196177828276
"AL","Pike",1109,29.6,61289,68.5,8.9,33274,48.1,2.3,57.8,37.3,26,13841,5636,8042,0,0,163,0.407196011848855,0.581027382414565,1,"Republican",0.383961117861482,0.584219319562576,1,0,1406,14,4225.52142814209,42.074893310092,995.732574679943,-0.00319193714801047
"AL","Randolph",1111,17.1,59766,65,9.3,22732,48.5,2.2,77.3,19,21,10837,2203,8559,0,0,75,0.203285041985789,0.789794223493587,1,"Republican",0.224894473348385,0.756356140178659,1,0,877,16,3857.9975365124,70.3853598451522,1824.40136830103,0.0334380833149277
"AL","Russell",1113,17.5,57400,60.8,10.8,57938,48,1.1,47.8,44.9,16,21329,11228,9864,0,0,237,0.526419428946505,0.462468939003235,0,"Democrat",0.497455338595762,0.478292480265891,0,1,2004,3,3458.86982636612,5.17794884186544,149.700598802395,-0.0158235412626561
"AL","St. Clair",1115,18.1,73785,71.3,8.2,88929,49.8,1.4,87,9.4,64,44441,7744,36166,0,0,531,0.17425350464661,0.813798069350375,1,"Republican",0.145546875,0.824244791666667,1,0,3353,46,3770.42359635215,51.7266583454216,1371.90575603937,-0.010446722316292
"AL","Shelby",1117,44.2,103042,80.8,6.1,216350,48.3,1.4,79.8,12.1,94,114950,33268,79700,0,0,1982,0.289412788168769,0.693344932579382,1,"Republican",0.226924368420013,0.721156695044146,1,0,7950,70,3674.60134042062,32.3549803559048,880.503144654088,-0.027811762464764
"AL","Sumter",1119,18.4,40483,49.6,11.4,12595,45.6,1.7,25.3,71.4,1,6291,4648,1598,0,0,45,0.738833253854713,0.254013670322683,0,"Democrat",0.740290126345344,0.246607393542349,0,1,489,21,3882.49305279873,166.732830488289,4294.47852760736,0.00740627678033409
"AL","Talladega",1121,15.3,59060,63.6,9.2,80244,48.2,1.6,63.5,32.3,20,35663,13138,22235,0,0,290,0.368393012365757,0.623475310545944,1,"Republican",0.362828149788966,0.617056305564702,1,0,2863,38,3567.86800259209,47.3555655251483,1327.27907789032,0.00641900498124193
"AL","Tallapoosa",1123,18.8,60529,63.7,8.5,40450,48.5,2,69.9,27.6,23,20991,5859,14963,0,0,169,0.279119622695441,0.71282930779858,1,"Republican",0.283228984912245,0.697629067022478,1,0,1424,87,3520.3955500618,215.080346106304,6109.55056179775,0.0152002407761027
"AL","Tuscaloosa",1125,31.1,71974,73.4,7,208854,48.1,1.4,63.3,32.2,59,90172,37765,51117,0,0,1290,0.418810717295835,0.566883289712993,1,"Republican",0.384062877871826,0.577061668681983,1,0,10919,145,5228.05404732493,69.4264893178967,1327.96043593736,-0.0101783789689901
"AL","Walker",1127,13.4,60917,65.7,11.4,63802,49.1,2.1,89.6,6,24,31170,4834,26002,0,0,334,0.155085017645172,0.834199550850176,1,"Republican",0.152585504885993,0.82335776330076,1,0,3050,95,4780.41440707188,148.898153662895,3114.75409836066,0.0108417875494164
"AL","Washington",1129,14.4,68743,66.5,9.5,16336,49.5,0.9,66,24.3,50,8876,2258,6564,0,0,54,0.254393871113114,0.739522307345651,1,"Republican",0.278213992734091,0.708074534161491,1,0,786,12,4811.45935357493,73.4573947110676,1526.71755725191,0.0314477731841605
"AL","Wilcox",1131,11.7,47936,45.1,10.1,10552,46.2,2.2,27.2,70.3,3,5903,4048,1833,0,0,22,0.685753006945621,0.31052007453837,0,"Democrat",0.709218698921216,0.283916312520432,0,1,580,12,5496.58832448825,113.722517058378,2068.96551724138,0.0266037620179388
"AL","Winston",1133,13.3,54276,59.4,12,23712,49.1,1.7,95.6,0.8,11,11284,974,10195,0,0,115,0.0863169088975541,0.903491669620702,1,"Republican",0.0845534761950936,0.894792979734316,1,0,1001,13,4221.49122807018,54.8245614035088,1298.7012987013,0.008698689886386
"AK","Aleutians East Borough",2013,16.6,85311,41.4,39.7,3389,57.7,1.4,14.8,3.8,84,7713,2666,4652,40,308,47,0.345650200959419,0.603137559963698,1,"Republican",0.257768253482321,0.616562069493341,1,0,17,0,501.622897609914,0,0,-0.0134245095296438
"AK","Aleutians West Census Area",2016,17,104029,70.5,17.2,5708,63.8,0.3,26.5,2.9,94,8118,4274,3516,64,210,54,0.526484355752648,0.433111603843311,0,"Democrat",0.442980096826251,0.430742334588488,0,1,101,0,1769.44639103013,0,0,0.00236926925482273
"AK","Anchorage Municipality",2020,36.6,108393,70.4,10.6,292090,51,1,61.2,5.3,96,7497,4881,2383,53,153,27,0.651060424169668,0.317860477524343,0,"Democrat",0.581372549019608,0.306302521008403,0,1,8922,51,3054.53798486768,17.4603718032113,571.620712844654,0.0115579565159397
"AZ","Apache",4001,12.5,45641,32.3,26.2,71714,49.3,1.5,22,0.8,2,35172,23293,11442,0,437,0,0.662259752075515,0.325315591948141,0,"Democrat",0.617584324500199,0.297892339394816,0,1,4042,174,5636.27743536827,242.630448726887,4304.79960415636,0.0274232525533248
"AZ","Cochise",4003,25.6,66022,62.8,7.8,126442,50.9,2.4,82.1,4.1,41,60442,23732,35557,0,1153,0,0.392640878859072,0.588282982032362,1,"Republican",0.34889533140058,0.561671498550435,1,0,2256,75,1784.21726957815,59.315733696082,3324.46808510638,0.0266114834819268
"AZ","Coconino",4005,37.6,77748,65.6,11.1,142254,49.3,0.9,63.1,1.4,73,73272,44698,27052,0,1522,0,0.610028387378535,0.36919969428977,0,"Democrat",0.542017931219055,0.353071055800883,0,1,5470,149,3845.23458039844,104.742221659848,2723.94881170018,0.0161286384888865
"AZ","Gila",4007,19.2,61525,55.3,10.1,53846,49.5,3.5,74,0.7,26,27662,8943,18377,0,342,0,0.323295495625768,0.664340973176198,1,"Republican",0.313866977411259,0.635622086769451,1,0,2034,72,3777.43936411247,133.714667756194,3539.82300884956,0.028718886406747
"AZ","Graham",4009,14.8,63550,60.7,7.4,38304,53.4,1.8,77.5,1.8,33,14995,4034,10749,0,212,0,0.269023007669223,0.716838946315438,1,"Republican",0.272045492005934,0.661364760178012,1,0,1307,31,3412.17627401838,80.9314954051796,2371.84391736802,0.0554741861374263
"AZ","Greenlee",4011,16.8,75758,78.9,3,9465,53.5,0.7,87.7,1.8,68,3685,1182,2433,0,70,0,0.320759837177748,0.660244233378562,1,"Republican",0.33394495412844,0.578593272171254,1,0,104,2,1098.78499735869,21.1304807184363,1923.07692307692,0.081650961207308
"AZ","La Paz",4012,11.8,48535,50.8,13.3,21035,51.1,3.8,74.1,1,4,7458,2236,5129,0,93,0,0.299812282113167,0.687717886832931,1,"Republican",0.264661401445135,0.672660057133255,1,0,630,18,2995.00831946755,85.5716662705016,2857.14285714286,0.0150578296996762
"AZ","Maricopa",4013,33.4,93108,65.5,10.9,4412779,49.4,1.8,73.8,5.7,90,2068144,1040774,995665,0,31705,0,0.503240586728971,0.481429242838023,0,"Democrat",0.448329989016694,0.47668375606091,1,0,161154,3632,3651.98438444345,82.3064105408406,2253.74486516003,0.00474548677711339
"AZ","Mohave",4015,13.4,63434,55.2,9.4,210998,50.4,2.8,88,0.9,32,104668,24831,78535,0,1302,0,0.237235831390683,0.750324836626285,1,"Republican",0.218343069436974,0.729044444166469,1,0,4538,235,2150.73128655248,111.375463274533,5178.49272807404,0.0212803924598164
"AZ","Navajo",4017,16.1,56393,42.8,13.5,110271,50.1,1.5,47.3,1.1,15,51767,23383,27657,0,727,0,0.451697027063573,0.534259277145672,1,"Republican",0.408472725467812,0.510671564004566,1,0,6579,243,5966.21051772451,220.366188753163,3693.57045143639,0.0235877131411055
"AZ","Pima",4019,33.6,75662,62.6,8.9,1038476,49.2,2.3,73.3,3.5,68,520397,304981,207758,0,7658,0,0.586054493012066,0.399229818772975,0,"Democrat",0.532826581918224,0.397087562849824,0,1,29141,646,2806.13129239385,62.2065411237236,2216.80793383892,0.00214225592315076
"AZ","Pinal",4021,20.9,78127,63.4,8.8,447559,51.9,1.7,76.8,4.5,73,184974,75106,107077,0,2791,0,0.406035442818991,0.578875950133532,1,"Republican",0.369691074984947,0.562109212171738,1,0,12312,228,2750.9222247793,50.9430041625797,1851.85185185185,0.0167667379617941
"AZ","Santa Cruz",4023,20.9,62101,44.8,11.7,46594,48.2,2.3,78.2,0.9,28,19556,13138,6194,0,224,0,0.671814276948251,0.316731437921865,0,"Democrat",0.711373455851032,0.237144769670784,0,1,3078,65,6606.00077263167,139.502940292742,2111.76088369071,0.079586668251081
"AZ","Yavapai",4025,26.3,70548,63.1,9.7,232396,48.8,3.3,89.3,0.7,55,143221,49602,91527,0,2092,0,0.346331892669371,0.639061310841287,1,"Republican",0.310965487112276,0.623241590214067,1,0,3102,91,1334.79061601749,39.1573004698876,2933.59123146357,0.0158197206272199
"AZ","Yuma",4027,15.4,63925,53.7,12.6,211931,51.5,2.1,69.4,2.2,34,69881,32210,36534,0,1137,0,0.460926432077389,0.522803050900817,1,"Republican",0.46415770609319,0.474721750613092,1,0,14071,359,6639.42509590386,169.394755840344,2551.34674152512,0.0480813002877253
"AR","Arkansas",5001,16.4,63537,58.2,5.3,17761,47.8,2.1,71.3,25.1,33,6292,1818,4304,16,46,108,0.28893833439288,0.684043229497775,1,"Republican",0.312137797810689,0.615904700579524,1,0,734,20,4132.65018861551,112.60627216936,2724.79564032698,0.0681385289182515
"AR","Ashley",5003,12.2,59468,50.2,7.7,20000,48.3,2.6,72.2,24.9,20,7926,2125,5548,9,25,219,0.26810497098158,0.699974766590966,1,"Republican",0.297909192131634,0.660398366942967,1,0,580,13,2900,65,2241.37931034483,0.0395763996479997
"AR","Baxter",5005,17.8,61420,61.5,5.8,41673,48.6,3.7,94.9,0.2,26,21007,4635,15836,43,183,310,0.220640738801352,0.753843956776313,1,"Republican",0.21091773752909,0.742790650612162,1,0,801,11,1922.10783960838,26.3959878098529,1373.28339575531,0.0110533061641503
"AR","Benton",5007,34.6,99006,70.8,8.7,273510,49.8,1.4,82,1.6,93,119912,42249,73965,277,1972,1449,0.352333377810394,0.61682734004937,1,"Republican",0.28923613980005,0.628676774353466,1,0,8747,127,3198.0549157252,46.4334028006289,1451.92637475706,-0.0118494343040965
"AR","Boone",5009,17.8,60654,61.9,6.8,37525,49.3,3,95.8,0.2,24,17114,3064,13652,55,153,190,0.17903470842585,0.797709477620661,1,"Republican",0.181615045621004,0.759419030476072,1,0,1114,37,2968.68754163891,98.6009327115256,3321.3644524237,0.0382904471445892
"AR","Bradley",5011,13.8,54942,51.6,10.8,10805,47.2,2.2,66.8,27.5,12,3654,1214,2335,4,33,68,0.33223864258347,0.639025725232622,1,"Republican",0.36052559540104,0.592389816589105,1,0,375,8,3470.6154558075,74.0397963905599,2133.33333333333,0.046635908643517
"AR","Calhoun",5013,10.7,60922,50.3,8.3,5160,50,1.3,74.4,22.2,24,2182,479,1636,8,16,43,0.219523373052246,0.749770852428964,1,"Republican",0.281621859850154,0.685764654032613,1,0,60,0,1162.79069767442,0,0,0.0640061983963508
"AR","Carroll",5015,21.2,64804,56.7,11.5,28062,49.8,2.3,89.3,0.9,37,11797,4023,7424,48,100,202,0.34101890311096,0.6293125370857,1,"Republican",0.310652537646403,0.630786391522588,1,0,1056,19,3763.0960017105,67.7072197277457,1799.24242424242,-0.00147385443688808
"AR","Chicot",5017,14.6,53582,42.2,10.6,10433,49.5,2.6,42.6,53.8,9,4103,2260,1752,5,17,69,0.550816475749452,0.427004630757982,0,"Democrat",0.562739463601533,0.410919540229885,0,1,1057,23,10131.314099492,220.454327614301,2175.9697256386,0.0160850905280969
"AR","Clark",5019,25.2,55359,62.6,9,22341,47.4,2.1,70,24.2,13,8395,3438,4616,48,79,214,0.409529481834425,0.549851101846337,1,"Republican",0.42458362655407,0.516537649542576,1,0,543,6,2430.50892977038,26.8564522626561,1104.97237569061,0.0333134523037615
